name,llm_url,model_name,api_key,context_length,reasoning_model,display
Llama-3.1-8b (private),http://localhost:8081/v1,model.gguf,no-key,32000,0,1
DeepSeek-R1-8b (private),http://localhost:8081/v1,model.gguf,no-key,32000,1,1
Gemini 2.0 Flash (cloud),https://generativelanguage.googleapis.com/v1beta/openai,gemini-2.0-flash,API_KEY,128000,0,1
Gemini 2.5 Pro Experimental (cloud),https://generativelanguage.googleapis.com/v1beta/openai,gemini-2.5-pro-exp-03-25,API_KEY,128000,0,1
ChatGPT GPT-4o (cloud),https://api.openai.com/v1,gpt-4o-2024-08-06,API_KEY,128000,0,1
ChatGPT GPT-4.5 (cloud),https://api.openai.com/v1,gpt-4.5-preview-2025-02-27,API_KEY,128000,0,1
Claude 3.5 Haiku (cloud),https://api.anthropic.com/v1/,claude-3-5-haiku-latest,API_KEY,200000,0,1
Claude 3.7 Sonnet (cloud),https://api.anthropic.com/v1/,claude-3-7-sonnet-latest,API_KEY,200000,0,1
Deepseek chat (cloud),https://api.deepseek.com/v1,deepseek-chat,API_KEY,64000,0,1
Deepseek reasoner (cloud),https://api.deepseek.com/v1,deepseek-reasoner,API_KEY,64000,1,1
